Ticker,FirstDate,LastDate
A,2005-01-03,2023-12-29
AAPL,2005-01-03,2023-12-29
ABT,2005-01-03,2023-12-29
ACGL,2005-01-03,2023-12-29
ACN,2005-01-03,2023-12-29
ADBE,2005-01-03,2023-12-29
ADI,2005-01-03,2023-12-29
ADM,2005-01-03,2023-12-29
ADP,2005-01-03,2023-12-29
ADSK,2005-01-03,2023-12-29
AEE,2005-01-03,2023-12-29
AEP,2005-01-03,2023-12-29
AES,2005-01-03,2023-12-29
AFL,2005-01-03,2023-12-29
AIG,2005-01-03,2023-12-29
AIZ,2005-01-03,2023-12-29
AJG,2005-01-03,2023-12-29
AKAM,2005-01-03,2023-12-29
ALB,2005-01-03,2023-12-29
ALGN,2005-01-03,2023-12-29
ALL,2005-01-03,2023-12-29
AMAT,2005-01-03,2023-12-29
AMD,2005-01-03,2023-12-29
AME,2005-01-03,2023-12-29
AMGN,2005-01-03,2023-12-29
AON,2005-01-03,2023-12-29
AOS,2005-01-03,2023-12-29
APA,2005-01-03,2023-12-29
APD,2005-01-03,2023-12-29
APH,2005-01-03,2023-12-29
ARE,2005-01-03,2023-12-29
ATO,2005-01-03,2023-12-29
AVB,2005-01-03,2023-12-29
AVY,2005-01-03,2023-12-29
AXON,2005-01-03,2023-12-29
AXP,2005-01-03,2023-12-29
AZO,2005-01-03,2023-12-29
BA,2005-01-03,2023-12-29
BAC,2005-01-03,2023-12-29
BALL,2005-01-03,2023-12-29
BAX,2005-01-03,2023-12-29
BBY,2005-01-03,2023-12-29
BDX,2005-01-03,2023-12-29
BEN,2005-01-03,2023-12-29
BF-B,2005-01-03,2023-12-29
BG,2005-01-03,2023-12-29
BIIB,2005-01-03,2023-12-29
BK,2005-01-03,2023-12-29
BKNG,2005-01-03,2023-12-29
BKR,2005-01-03,2023-12-29
BLK,2005-01-03,2023-12-29
BMY,2005-01-03,2023-12-29
BRK-B,2005-01-03,2023-12-29
BRO,2005-01-03,2023-12-29
BSX,2005-01-03,2023-12-29
BXP,2005-01-03,2023-12-29
C,2005-01-03,2023-12-29
CAG,2005-01-03,2023-12-29
CAH,2005-01-03,2023-12-29
CAT,2005-01-03,2023-12-29
CB,2005-01-03,2023-12-29
CBRE,2005-01-03,2023-12-29
CCI,2005-01-03,2023-12-29
CCL,2005-01-03,2023-12-29
CDNS,2005-01-03,2023-12-29
CHD,2005-01-03,2023-12-29
CHRW,2005-01-03,2023-12-29
CI,2005-01-03,2023-12-29
CINF,2005-01-03,2023-12-29
CL,2005-01-03,2023-12-29
CLX,2005-01-03,2023-12-29
CMCSA,2005-01-03,2023-12-29
CME,2005-01-03,2023-12-29
CMI,2005-01-03,2023-12-29
CMS,2005-01-03,2023-12-29
CNC,2005-01-03,2023-12-29
CNP,2005-01-03,2023-12-29
COF,2005-01-03,2023-12-29
COO,2005-01-03,2023-12-29
COP,2005-01-03,2023-12-29
COR,2005-01-03,2023-12-29
COST,2005-01-03,2023-12-29
CPB,2005-01-03,2023-12-29
